Training for 378151 steps ...
     78/378151: episode: 1, duration: 0.190s, episode steps:  78, steps per second: 410, episode reward: 23.793, mean reward:  0.305 [-0.005,  0.470], mean action: 15.397 [0.000, 31.000],  loss: --, mae: --, mean_q: --
 102998/378151: episode: 452, duration: 3.030s, episode steps: 267, steps per second:  88, episode reward: 112.026, mean reward:  0.420 [ 0.137,  0.476], mean action: 12.393 [0.000, 31.000],  loss: 67.470108, mae: 177.055618, mean_q: 190.844437
 103263/378151: episode: 453, duration: 2.929s, episode steps: 265, steps per second:  90, episode reward: 77.416, mean reward:  0.292 [-0.005,  0.351], mean action: 14.272 [0.000, 31.000],  loss: 49.268856, mae: 177.132156, mean_q: 190.962494
 103530/378151: episode: 454, duration: 2.989s, episode steps: 267, steps per second:  89, episode reward: 118.579, mean reward:  0.444 [ 0.116,  0.490], mean action: 14.127 [0.000, 31.000],  loss: 73.851021, mae: 177.020920, mean_q: 191.001495
 103628/378151: episode: 455, duration: 1.070s, episode steps:  98, steps per second:  92, episode reward: 46.697, mean reward:  0.476 [ 0.137,  0.642], mean action: 14.694 [0.000, 31.000],  loss: 83.328781, mae: 176.324432, mean_q: 189.857925
 103648/378151: episode: 456, duration: 0.273s, episode steps:  20, steps per second:  73, episode reward:  5.870, mean reward:  0.293 [ 0.137,  0.340], mean action: 13.900 [2.000, 30.000],  loss: 109.956863, mae: 177.245499, mean_q: 191.648529
 103915/378151: episode: 457, duration: 2.966s, episode steps: 267, steps per second:  90, episode reward: 57.969, mean reward:  0.217 [-0.005,  0.285], mean action: 15.543 [0.000, 31.000],  loss: 74.749046, mae: 177.113510, mean_q: 191.190170
 104182/378151: episode: 458, duration: 3.001s, episode steps: 267, steps per second:  89, episode reward: 92.078, mean reward:  0.345 [-0.005,  0.466], mean action: 15.933 [0.000, 31.000],  loss: 73.048820, mae: 177.133972, mean_q: 190.653641
 104452/378151: episode: 459, duration: 2.966s, episode steps: 270, steps per second:  91, episode reward: 93.732, mean reward:  0.347 [ 0.137,  0.371], mean action: 10.552 [0.000, 31.000],  loss: 81.511154, mae: 176.505814, mean_q: 190.380051
 104719/378151: episode: 460, duration: 2.993s, episode steps: 267, steps per second:  89, episode reward: 104.666, mean reward:  0.392 [ 0.087,  0.464], mean action: 16.221 [0.000, 31.000],  loss: 83.418335, mae: 176.021042, mean_q: 189.676376
 104986/378151: episode: 461, duration: 2.926s, episode steps: 267, steps per second:  91, episode reward: 110.463, mean reward:  0.414 [ 0.087,  0.466], mean action: 13.944 [0.000, 31.000],  loss: 67.056328, mae: 174.887390, mean_q: 188.601089
 105253/378151: episode: 462, duration: 3.007s, episode steps: 267, steps per second:  89, episode reward: 106.690, mean reward:  0.400 [-0.005,  0.455], mean action: 15.588 [0.000, 31.000],  loss: 74.898766, mae: 175.107071, mean_q: 188.826050
 105520/378151: episode: 463, duration: 2.984s, episode steps: 267, steps per second:  89, episode reward: 57.533, mean reward:  0.215 [-0.005,  0.293], mean action: 15.105 [0.000, 31.000],  loss: 77.340958, mae: 174.713654, mean_q: 188.435394
 105787/378151: episode: 464, duration: 2.919s, episode steps: 267, steps per second:  91, episode reward: 111.479, mean reward:  0.418 [ 0.087,  0.475], mean action: 15.506 [0.000, 31.000],  loss: 72.054337, mae: 174.214676, mean_q: 187.918869
 106054/378151: episode: 465, duration: 3.006s, episode steps: 267, steps per second:  89, episode reward: 106.628, mean reward:  0.399 [ 0.087,  0.438], mean action: 16.502 [0.000, 31.000],  loss: 81.186272, mae: 174.418900, mean_q: 188.480591
 106321/378151: episode: 466, duration: 2.949s, episode steps: 267, steps per second:  91, episode reward: 70.916, mean reward:  0.266 [-0.005,  0.432], mean action: 15.592 [0.000, 31.000],  loss: 69.628220, mae: 174.031860, mean_q: 188.032639
 106588/378151: episode: 467, duration: 2.981s, episode steps: 267, steps per second:  90, episode reward: 107.012, mean reward:  0.401 [-0.005,  0.643], mean action: 15.142 [0.000, 31.000],  loss: 85.974274, mae: 173.751953, mean_q: 187.543045
 106855/378151: episode: 468, duration: 2.943s, episode steps: 267, steps per second:  91, episode reward: 111.552, mean reward:  0.418 [ 0.137,  0.446], mean action: 17.397 [0.000, 31.000],  loss: 72.179337, mae: 172.726715, mean_q: 186.524780
 107122/378151: episode: 469, duration: 3.013s, episode steps: 267, steps per second:  89, episode reward: 89.736, mean reward:  0.336 [-0.005,  0.477], mean action: 16.356 [0.000, 31.000],  loss: 59.273651, mae: 172.625519, mean_q: 186.315948
 107389/378151: episode: 470, duration: 3.011s, episode steps: 267, steps per second:  89, episode reward: 59.152, mean reward:  0.222 [-0.005,  0.399], mean action: 17.464 [0.000, 31.000],  loss: 78.876511, mae: 172.399231, mean_q: 186.123566
 107656/378151: episode: 471, duration: 2.954s, episode steps: 267, steps per second:  90, episode reward: 79.641, mean reward:  0.298 [-0.005,  0.443], mean action: 15.667 [0.000, 31.000],  loss: 65.446648, mae: 171.854736, mean_q: 185.439850
 107923/378151: episode: 472, duration: 3.008s, episode steps: 267, steps per second:  89, episode reward: 87.019, mean reward:  0.326 [-0.005,  0.438], mean action: 17.625 [0.000, 31.000],  loss: 62.024914, mae: 171.532745, mean_q: 185.344955
 108102/378151: episode: 473, duration: 1.992s, episode steps: 179, steps per second:  90, episode reward: 96.778, mean reward:  0.541 [-0.005,  0.654], mean action: 17.564 [0.000, 31.000],  loss: 103.419212, mae: 171.087967, mean_q: 185.190079
 108369/378151: episode: 474, duration: 2.959s, episode steps: 267, steps per second:  90, episode reward: 113.044, mean reward:  0.423 [ 0.116,  0.456], mean action: 16.663 [0.000, 31.000],  loss: 63.052765, mae: 170.982239, mean_q: 184.860641
 108610/378151: episode: 475, duration: 2.724s, episode steps: 241, steps per second:  88, episode reward: 96.955, mean reward:  0.402 [ 0.133,  0.484], mean action: 15.539 [0.000, 31.000],  loss: 58.601498, mae: 171.093262, mean_q: 185.175110
 108644/378151: episode: 476, duration: 0.376s, episode steps:  34, steps per second:  91, episode reward:  7.072, mean reward:  0.208 [ 0.085,  0.305], mean action: 16.059 [0.000, 31.000],  loss: 89.451561, mae: 170.927322, mean_q: 184.342575
 108911/378151: episode: 477, duration: 2.984s, episode steps: 267, steps per second:  89, episode reward: 64.070, mean reward:  0.240 [-0.005,  0.404], mean action: 14.607 [0.000, 31.000],  loss: 84.652588, mae: 170.881088, mean_q: 184.613586
 108957/378151: episode: 478, duration: 0.506s, episode steps:  46, steps per second:  91, episode reward: 10.464, mean reward:  0.227 [ 0.087,  0.320], mean action: 15.304 [0.000, 31.000],  loss: 60.559227, mae: 170.224289, mean_q: 184.174683
 109183/378151: episode: 479, duration: 2.501s, episode steps: 226, steps per second:  90, episode reward: 85.412, mean reward:  0.378 [ 0.087,  0.445], mean action: 16.770 [0.000, 31.000],  loss: 49.222370, mae: 170.400024, mean_q: 184.216919
 109450/378151: episode: 480, duration: 3.056s, episode steps: 267, steps per second:  87, episode reward: 81.131, mean reward:  0.304 [-0.005,  0.465], mean action: 16.311 [0.000, 31.000],  loss: 83.651367, mae: 170.954727, mean_q: 184.878723
 109717/378151: episode: 481, duration: 2.984s, episode steps: 267, steps per second:  89, episode reward: 80.600, mean reward:  0.302 [-0.005,  0.458], mean action: 15.551 [0.000, 31.000],  loss: 43.222298, mae: 170.861664, mean_q: 184.590179
 109984/378151: episode: 482, duration: 2.982s, episode steps: 267, steps per second:  90, episode reward: 79.241, mean reward:  0.297 [-0.005,  0.428], mean action: 13.592 [0.000, 31.000],  loss: 73.898560, mae: 170.115158, mean_q: 183.957306
 110251/378151: episode: 483, duration: 3.009s, episode steps: 267, steps per second:  89, episode reward: 105.296, mean reward:  0.394 [ 0.116,  0.452], mean action: 18.753 [0.000, 31.000],  loss: 70.370682, mae: 169.283295, mean_q: 183.032730
 110518/378151: episode: 484, duration: 2.946s, episode steps: 267, steps per second:  91, episode reward: 83.055, mean reward:  0.311 [ 0.137,  0.362], mean action: 8.581 [0.000, 31.000],  loss: 78.626373, mae: 169.460617, mean_q: 183.458893
 110785/378151: episode: 485, duration: 2.976s, episode steps: 267, steps per second:  90, episode reward: 137.282, mean reward:  0.514 [ 0.137,  0.648], mean action: 15.326 [0.000, 31.000],  loss: 74.664764, mae: 168.276627, mean_q: 182.355423
 111052/378151: episode: 486, duration: 2.952s, episode steps: 267, steps per second:  90, episode reward: 109.660, mean reward:  0.411 [ 0.133,  0.447], mean action: 15.360 [0.000, 31.000],  loss: 62.003239, mae: 168.667603, mean_q: 182.527832
 111159/378151: episode: 487, duration: 1.209s, episode steps: 107, steps per second:  89, episode reward: 52.825, mean reward:  0.494 [ 0.085,  0.641], mean action: 13.187 [0.000, 31.000],  loss: 80.936287, mae: 168.749664, mean_q: 182.635391
 111426/378151: episode: 488, duration: 2.989s, episode steps: 267, steps per second:  89, episode reward: 102.548, mean reward:  0.384 [-0.005,  0.480], mean action: 15.097 [0.000, 31.000],  loss: 71.879471, mae: 168.747482, mean_q: 182.935425
 111693/378151: episode: 489, duration: 2.935s, episode steps: 267, steps per second:  91, episode reward: 133.048, mean reward:  0.498 [ 0.133,  0.645], mean action: 15.502 [0.000, 31.000],  loss: 79.960060, mae: 168.645248, mean_q: 182.626312
 111823/378151: episode: 490, duration: 1.481s, episode steps: 130, steps per second:  88, episode reward: 49.832, mean reward:  0.383 [-0.005,  0.539], mean action: 15.977 [0.000, 31.000],  loss: 61.212559, mae: 168.749039, mean_q: 182.585007
 112090/378151: episode: 491, duration: 2.952s, episode steps: 267, steps per second:  90, episode reward: 117.529, mean reward:  0.440 [ 0.087,  0.493], mean action: 14.228 [0.000, 31.000],  loss: 54.703476, mae: 169.130859, mean_q: 182.833740
 112357/378151: episode: 492, duration: 3.022s, episode steps: 267, steps per second:  88, episode reward: 104.783, mean reward:  0.392 [-0.005,  0.463], mean action: 14.629 [0.000, 31.000],  loss: 68.409500, mae: 169.029083, mean_q: 182.862305
 112624/378151: episode: 493, duration: 3.000s, episode steps: 267, steps per second:  89, episode reward: 106.811, mean reward:  0.400 [-0.005,  0.638], mean action: 14.685 [0.000, 31.000],  loss: 39.654457, mae: 169.196289, mean_q: 182.901093
 112891/378151: episode: 494, duration: 2.958s, episode steps: 267, steps per second:  90, episode reward: 116.176, mean reward:  0.435 [-0.005,  0.487], mean action: 11.925 [0.000, 31.000],  loss: 84.968727, mae: 168.120010, mean_q: 182.168594
 112966/378151: episode: 495, duration: 0.864s, episode steps:  75, steps per second:  87, episode reward: 33.161, mean reward:  0.442 [ 0.087,  0.572], mean action: 15.880 [0.000, 31.000],  loss: 30.878578, mae: 168.739731, mean_q: 182.677277
 113233/378151: episode: 496, duration: 2.965s, episode steps: 267, steps per second:  90, episode reward: 70.509, mean reward:  0.264 [-0.005,  0.308], mean action: 13.524 [2.000, 31.000],  loss: 68.680267, mae: 168.351746, mean_q: 182.136902
 113500/378151: episode: 497, duration: 2.979s, episode steps: 267, steps per second:  90, episode reward: 115.369, mean reward:  0.432 [-0.005,  0.655], mean action: 15.828 [0.000, 31.000],  loss: 67.548431, mae: 168.639679, mean_q: 182.464859
 113535/378151: episode: 498, duration: 0.379s, episode steps:  35, steps per second:  92, episode reward:  8.823, mean reward:  0.252 [ 0.116,  0.310], mean action: 16.800 [2.000, 31.000],  loss: 78.514084, mae: 169.211823, mean_q: 183.442688
 113783/378151: episode: 499, duration: 2.763s, episode steps: 248, steps per second:  90, episode reward: 69.726, mean reward:  0.281 [-0.005,  0.378], mean action: 12.044 [0.000, 31.000],  loss: 58.963680, mae: 168.411880, mean_q: 182.275803
 114050/378151: episode: 500, duration: 2.979s, episode steps: 267, steps per second:  90, episode reward: 115.226, mean reward:  0.432 [ 0.133,  0.466], mean action: 14.951 [0.000, 31.000],  loss: 51.377693, mae: 168.692215, mean_q: 182.516800
 114317/378151: episode: 501, duration: 2.955s, episode steps: 267, steps per second:  90, episode reward: 81.179, mean reward:  0.304 [-0.005,  0.450], mean action: 14.517 [0.000, 31.000],  loss: 80.953407, mae: 168.442291, mean_q: 182.335678
 114584/378151: episode: 502, duration: 3.010s, episode steps: 267, steps per second:  89, episode reward: 93.145, mean reward:  0.349 [-0.005,  0.445], mean action: 17.210 [0.000, 31.000],  loss: 63.643200, mae: 167.706635, mean_q: 181.698929
 114746/378151: episode: 503, duration: 1.814s, episode steps: 162, steps per second:  89, episode reward: 77.770, mean reward:  0.480 [-0.005,  0.641], mean action: 17.691 [0.000, 31.000],  loss: 89.820129, mae: 167.669373, mean_q: 181.875076
 115013/378151: episode: 504, duration: 3.012s, episode steps: 267, steps per second:  89, episode reward: 111.770, mean reward:  0.419 [ 0.087,  0.466], mean action: 14.760 [0.000, 31.000],  loss: 75.284409, mae: 167.539444, mean_q: 181.696564
 115283/378151: episode: 505, duration: 2.977s, episode steps: 270, steps per second:  91, episode reward: 107.358, mean reward:  0.398 [-0.005,  0.483], mean action: 16.730 [0.000, 31.000],  loss: 70.261673, mae: 167.420853, mean_q: 181.338867
 115550/378151: episode: 506, duration: 3.029s, episode steps: 267, steps per second:  88, episode reward: 102.239, mean reward:  0.383 [-0.005,  0.475], mean action: 17.022 [0.000, 31.000],  loss: 69.712959, mae: 167.058701, mean_q: 181.131897
 115817/378151: episode: 507, duration: 2.953s, episode steps: 267, steps per second:  90, episode reward: 96.453, mean reward:  0.361 [-0.005,  0.452], mean action: 16.850 [0.000, 31.000],  loss: 79.589058, mae: 167.580963, mean_q: 181.576660
 115863/378151: episode: 508, duration: 0.566s, episode steps:  46, steps per second:  81, episode reward: 10.147, mean reward:  0.221 [-0.005,  0.308], mean action: 17.022 [0.000, 31.000],  loss: 58.357151, mae: 166.664185, mean_q: 181.127670
 116130/378151: episode: 509, duration: 2.967s, episode steps: 267, steps per second:  90, episode reward: 151.625, mean reward:  0.568 [ 0.087,  0.646], mean action: 10.749 [0.000, 31.000],  loss: 51.358784, mae: 167.495560, mean_q: 181.425415
 116399/378151: episode: 510, duration: 3.029s, episode steps: 269, steps per second:  89, episode reward: 103.290, mean reward:  0.384 [-0.005,  0.463], mean action: 15.405 [0.000, 31.000],  loss: 64.701965, mae: 167.750916, mean_q: 181.669327
 116666/378151: episode: 511, duration: 2.957s, episode steps: 267, steps per second:  90, episode reward: 109.811, mean reward:  0.411 [-0.005,  0.465], mean action: 16.307 [0.000, 31.000],  loss: 50.457954, mae: 167.951370, mean_q: 181.760239
 116933/378151: episode: 512, duration: 3.030s, episode steps: 267, steps per second:  88, episode reward: 102.802, mean reward:  0.385 [-0.005,  0.455], mean action: 17.416 [0.000, 31.000],  loss: 59.903427, mae: 167.796112, mean_q: 181.720169
 117200/378151: episode: 513, duration: 2.953s, episode steps: 267, steps per second:  90, episode reward: 37.871, mean reward:  0.142 [-0.005,  0.311], mean action: 14.921 [0.000, 31.000],  loss: 96.176178, mae: 167.087250, mean_q: 180.959793
 117467/378151: episode: 514, duration: 2.993s, episode steps: 267, steps per second:  89, episode reward: 146.990, mean reward:  0.551 [ 0.087,  0.649], mean action: 15.599 [0.000, 31.000],  loss: 70.257668, mae: 166.770294, mean_q: 180.842865
 117734/378151: episode: 515, duration: 2.997s, episode steps: 267, steps per second:  89, episode reward: 102.672, mean reward:  0.385 [ 0.034,  0.549], mean action: 17.045 [0.000, 31.000],  loss: 60.228642, mae: 166.669037, mean_q: 180.630997
 118001/378151: episode: 516, duration: 2.932s, episode steps: 267, steps per second:  91, episode reward: 97.667, mean reward:  0.366 [ 0.137,  0.486], mean action: 17.213 [0.000, 31.000],  loss: 55.355061, mae: 167.032532, mean_q: 180.876297
 118202/378151: episode: 517, duration: 2.266s, episode steps: 201, steps per second:  89, episode reward: 49.869, mean reward:  0.248 [-0.005,  0.340], mean action: 15.577 [0.000, 31.000],  loss: 58.675724, mae: 166.833084, mean_q: 180.895645
 118469/378151: episode: 518, duration: 2.992s, episode steps: 267, steps per second:  89, episode reward: 106.639, mean reward:  0.399 [ 0.087,  0.447], mean action: 16.738 [0.000, 31.000],  loss: 74.588966, mae: 167.098648, mean_q: 181.074112
 118736/378151: episode: 519, duration: 2.963s, episode steps: 267, steps per second:  90, episode reward: 77.847, mean reward:  0.292 [-0.005,  0.330], mean action: 11.963 [0.000, 30.000],  loss: 63.952641, mae: 166.728958, mean_q: 180.757996
 119003/378151: episode: 520, duration: 2.980s, episode steps: 267, steps per second:  90, episode reward: 98.034, mean reward:  0.367 [-0.005,  0.638], mean action: 14.281 [0.000, 31.000],  loss: 72.197784, mae: 166.174423, mean_q: 180.081223
 119270/378151: episode: 521, duration: 2.971s, episode steps: 267, steps per second:  90, episode reward: 110.915, mean reward:  0.415 [-0.005,  0.478], mean action: 11.918 [0.000, 31.000],  loss: 77.066277, mae: 165.542969, mean_q: 179.572189
 119528/378151: episode: 522, duration: 2.849s, episode steps: 258, steps per second:  91, episode reward: 73.849, mean reward:  0.286 [-0.005,  0.471], mean action: 12.380 [0.000, 31.000],  loss: 57.773701, mae: 165.977005, mean_q: 179.936035
 119795/378151: episode: 523, duration: 2.978s, episode steps: 267, steps per second:  90, episode reward: 94.130, mean reward:  0.353 [ 0.072,  0.451], mean action: 16.184 [0.000, 31.000],  loss: 89.705162, mae: 165.252197, mean_q: 179.227188
 120064/378151: episode: 524, duration: 2.998s, episode steps: 269, steps per second:  90, episode reward: 77.519, mean reward:  0.288 [-0.005,  0.447], mean action: 15.870 [0.000, 31.000],  loss: 58.693913, mae: 165.326294, mean_q: 179.370193
 120331/378151: episode: 525, duration: 2.999s, episode steps: 267, steps per second:  89, episode reward: 113.117, mean reward:  0.424 [ 0.137,  0.485], mean action: 14.483 [0.000, 31.000],  loss: 71.331764, mae: 165.262711, mean_q: 179.359924
 120598/378151: episode: 526, duration: 2.950s, episode steps: 267, steps per second:  91, episode reward: 107.691, mean reward:  0.403 [ 0.087,  0.497], mean action: 16.090 [0.000, 31.000],  loss: 55.339111, mae: 165.505859, mean_q: 179.190140
 120682/378151: episode: 527, duration: 0.977s, episode steps:  84, steps per second:  86, episode reward: 28.966, mean reward:  0.345 [-0.005,  0.465], mean action: 13.131 [0.000, 30.000],  loss: 40.875713, mae: 165.342239, mean_q: 179.011719
 120949/378151: episode: 528, duration: 2.957s, episode steps: 267, steps per second:  90, episode reward: 53.776, mean reward:  0.201 [-0.005,  0.296], mean action: 13.850 [0.000, 31.000],  loss: 60.552551, mae: 165.024078, mean_q: 178.897690
 121216/378151: episode: 529, duration: 3.011s, episode steps: 267, steps per second:  89, episode reward: 121.948, mean reward:  0.457 [-0.005,  0.637], mean action: 15.903 [0.000, 31.000],  loss: 66.010033, mae: 165.079681, mean_q: 178.728806
 121451/378151: episode: 530, duration: 2.613s, episode steps: 235, steps per second:  90, episode reward: 59.503, mean reward:  0.253 [-0.005,  0.438], mean action: 15.157 [0.000, 31.000],  loss: 60.265427, mae: 164.362503, mean_q: 178.305267
 121467/378151: episode: 531, duration: 0.183s, episode steps:  16, steps per second:  88, episode reward:  3.115, mean reward:  0.195 [ 0.137,  0.306], mean action: 15.000 [0.000, 31.000],  loss: 12.075225, mae: 162.879822, mean_q: 176.878693
 121734/378151: episode: 532, duration: 3.003s, episode steps: 267, steps per second:  89, episode reward: 105.162, mean reward:  0.394 [-0.005,  0.458], mean action: 16.442 [0.000, 31.000],  loss: 53.768711, mae: 164.481705, mean_q: 178.181244
 122001/378151: episode: 533, duration: 2.988s, episode steps: 267, steps per second:  89, episode reward: 96.345, mean reward:  0.361 [ 0.060,  0.407], mean action: 10.625 [0.000, 31.000],  loss: 50.904625, mae: 164.674011, mean_q: 178.437546
 122268/378151: episode: 534, duration: 2.969s, episode steps: 267, steps per second:  90, episode reward: 80.947, mean reward:  0.303 [-0.005,  0.431], mean action: 16.554 [0.000, 31.000],  loss: 59.950039, mae: 164.459564, mean_q: 178.305573
 122535/378151: episode: 535, duration: 3.028s, episode steps: 267, steps per second:  88, episode reward: 91.376, mean reward:  0.342 [-0.005,  0.452], mean action: 16.929 [0.000, 31.000],  loss: 57.156799, mae: 164.465652, mean_q: 178.244751
 122802/378151: episode: 536, duration: 2.938s, episode steps: 267, steps per second:  91, episode reward: 61.912, mean reward:  0.232 [-0.005,  0.319], mean action: 16.367 [0.000, 31.000],  loss: 47.980900, mae: 164.829254, mean_q: 178.755905
 122830/378151: episode: 537, duration: 0.361s, episode steps:  28, steps per second:  77, episode reward:  3.663, mean reward:  0.131 [-0.005,  0.302], mean action: 16.571 [0.000, 30.000],  loss: 77.980873, mae: 163.402634, mean_q: 177.476425
 122970/378151: episode: 538, duration: 1.526s, episode steps: 140, steps per second:  92, episode reward: 32.538, mean reward:  0.232 [-0.005,  0.304], mean action: 14.971 [0.000, 31.000],  loss: 57.973026, mae: 164.461243, mean_q: 178.336060
 123237/378151: episode: 539, duration: 2.999s, episode steps: 267, steps per second:  89, episode reward: 118.785, mean reward:  0.445 [ 0.117,  0.524], mean action: 16.367 [0.000, 31.000],  loss: 42.682320, mae: 164.830460, mean_q: 178.585754
 123504/378151: episode: 540, duration: 2.997s, episode steps: 267, steps per second:  89, episode reward: 102.859, mean reward:  0.385 [-0.005,  0.453], mean action: 15.584 [0.000, 31.000],  loss: 85.099312, mae: 164.145691, mean_q: 178.057236
 123771/378151: episode: 541, duration: 2.944s, episode steps: 267, steps per second:  91, episode reward: 72.378, mean reward:  0.271 [ 0.087,  0.419], mean action: 15.727 [0.000, 31.000],  loss: 78.064156, mae: 164.026474, mean_q: 177.717957
 124038/378151: episode: 542, duration: 3.031s, episode steps: 267, steps per second:  88, episode reward: 48.239, mean reward:  0.181 [-0.005,  0.314], mean action: 15.251 [0.000, 31.000],  loss: 62.328579, mae: 163.352463, mean_q: 177.165817
 124305/378151: episode: 543, duration: 2.954s, episode steps: 267, steps per second:  90, episode reward: 80.663, mean reward:  0.302 [-0.005,  0.476], mean action: 16.011 [0.000, 31.000],  loss: 78.093628, mae: 163.244995, mean_q: 176.891418
 124572/378151: episode: 544, duration: 2.974s, episode steps: 267, steps per second:  90, episode reward: 52.715, mean reward:  0.197 [-0.005,  0.301], mean action: 13.955 [0.000, 31.000],  loss: 45.405029, mae: 163.585968, mean_q: 177.414078
 124839/378151: episode: 545, duration: 2.943s, episode steps: 267, steps per second:  91, episode reward: 155.376, mean reward:  0.582 [ 0.087,  0.645], mean action: 17.491 [0.000, 31.000],  loss: 60.935123, mae: 163.401276, mean_q: 177.237503
 125106/378151: episode: 546, duration: 2.994s, episode steps: 267, steps per second:  89, episode reward: 108.729, mean reward:  0.407 [-0.005,  0.494], mean action: 16.453 [0.000, 31.000],  loss: 69.532684, mae: 163.171677, mean_q: 177.032074
 125373/378151: episode: 547, duration: 3.019s, episode steps: 267, steps per second:  88, episode reward: 103.860, mean reward:  0.389 [ 0.087,  0.454], mean action: 15.648 [0.000, 31.000],  loss: 69.567780, mae: 163.023407, mean_q: 176.745834
 125394/378151: episode: 548, duration: 0.242s, episode steps:  21, steps per second:  87, episode reward:  5.414, mean reward:  0.258 [ 0.137,  0.306], mean action: 14.619 [1.000, 30.000],  loss: 73.901451, mae: 163.724777, mean_q: 176.796799
 125661/378151: episode: 549, duration: 2.944s, episode steps: 267, steps per second:  91, episode reward: 115.998, mean reward:  0.434 [ 0.110,  0.639], mean action: 17.296 [0.000, 31.000],  loss: 60.087296, mae: 162.973618, mean_q: 176.740402
 125928/378151: episode: 550, duration: 2.976s, episode steps: 267, steps per second:  90, episode reward: 59.215, mean reward:  0.222 [-0.005,  0.303], mean action: 15.524 [0.000, 31.000],  loss: 68.138878, mae: 162.051788, mean_q: 175.522461
 126195/378151: episode: 551, duration: 2.932s, episode steps: 267, steps per second:  91, episode reward: 76.785, mean reward:  0.288 [ 0.048,  0.326], mean action: 11.787 [0.000, 31.000],  loss: 55.021988, mae: 162.306290, mean_q: 175.905426
 126462/378151: episode: 552, duration: 3.006s, episode steps: 267, steps per second:  89, episode reward: 70.816, mean reward:  0.265 [-0.005,  0.321], mean action: 12.644 [0.000, 31.000],  loss: 64.750443, mae: 161.832596, mean_q: 175.521881
 126684/378151: episode: 553, duration: 2.479s, episode steps: 222, steps per second:  90, episode reward: 56.637, mean reward:  0.255 [-0.005,  0.323], mean action: 13.671 [0.000, 31.000],  loss: 63.057003, mae: 161.175598, mean_q: 174.620453
 126951/378151: episode: 554, duration: 2.989s, episode steps: 267, steps per second:  89, episode reward: 143.210, mean reward:  0.536 [ 0.137,  0.653], mean action: 13.801 [0.000, 31.000],  loss: 57.103649, mae: 161.023392, mean_q: 174.681641
 127047/378151: episode: 555, duration: 1.062s, episode steps:  96, steps per second:  90, episode reward: 22.433, mean reward:  0.234 [-0.005,  0.470], mean action: 15.719 [0.000, 30.000],  loss: 56.922367, mae: 160.895706, mean_q: 174.297302
 127314/378151: episode: 556, duration: 2.978s, episode steps: 267, steps per second:  90, episode reward: 107.884, mean reward:  0.404 [ 0.087,  0.636], mean action: 15.697 [0.000, 31.000],  loss: 83.034714, mae: 160.275894, mean_q: 173.954422
 127581/378151: episode: 557, duration: 2.983s, episode steps: 267, steps per second:  89, episode reward: 56.195, mean reward:  0.210 [-0.005,  0.286], mean action: 14.442 [0.000, 31.000],  loss: 44.183281, mae: 160.721146, mean_q: 174.131287
 127833/378151: episode: 558, duration: 2.772s, episode steps: 252, steps per second:  91, episode reward: 109.920, mean reward:  0.436 [ 0.087,  0.478], mean action: 15.579 [0.000, 31.000],  loss: 56.065826, mae: 160.645355, mean_q: 174.022385
 128100/378151: episode: 559, duration: 3.026s, episode steps: 267, steps per second:  88, episode reward: 115.533, mean reward:  0.433 [ 0.116,  0.470], mean action: 15.262 [0.000, 31.000],  loss: 62.250031, mae: 160.386734, mean_q: 174.028305
 128248/378151: episode: 560, duration: 1.592s, episode steps: 148, steps per second:  93, episode reward: 71.822, mean reward:  0.485 [ 0.137,  0.591], mean action: 14.331 [0.000, 31.000],  loss: 49.967865, mae: 160.509323, mean_q: 173.873093
 128515/378151: episode: 561, duration: 2.980s, episode steps: 267, steps per second:  90, episode reward: 56.607, mean reward:  0.212 [-0.005,  0.296], mean action: 14.307 [0.000, 31.000],  loss: 70.501511, mae: 159.700409, mean_q: 173.231216
 128782/378151: episode: 562, duration: 3.017s, episode steps: 267, steps per second:  89, episode reward: 59.173, mean reward:  0.222 [-0.005,  0.316], mean action: 16.157 [0.000, 31.000],  loss: 60.723633, mae: 159.712967, mean_q: 173.152618
 129049/378151: episode: 563, duration: 2.944s, episode steps: 267, steps per second:  91, episode reward: 84.953, mean reward:  0.318 [ 0.067,  0.446], mean action: 15.539 [0.000, 31.000],  loss: 48.156174, mae: 159.519333, mean_q: 173.015320
 129316/378151: episode: 564, duration: 3.005s, episode steps: 267, steps per second:  89, episode reward: 106.765, mean reward:  0.400 [ 0.087,  0.453], mean action: 15.041 [0.000, 31.000],  loss: 42.212341, mae: 159.454147, mean_q: 173.033096
 129583/378151: episode: 565, duration: 2.945s, episode steps: 267, steps per second:  91, episode reward: 97.375, mean reward:  0.365 [-0.005,  0.436], mean action: 16.131 [0.000, 31.000],  loss: 67.615677, mae: 159.375580, mean_q: 172.929977
 129850/378151: episode: 566, duration: 3.009s, episode steps: 267, steps per second:  89, episode reward: 57.384, mean reward:  0.215 [-0.005,  0.295], mean action: 14.431 [0.000, 31.000],  loss: 69.834518, mae: 158.922485, mean_q: 172.558548
 129882/378151: episode: 567, duration: 0.359s, episode steps:  32, steps per second:  89, episode reward:  9.281, mean reward:  0.290 [ 0.133,  0.356], mean action: 17.375 [0.000, 31.000],  loss: 36.147980, mae: 158.209183, mean_q: 171.366776
 130151/378151: episode: 568, duration: 3.011s, episode steps: 269, steps per second:  89, episode reward: 119.604, mean reward:  0.445 [ 0.017,  0.484], mean action: 15.836 [0.000, 31.000],  loss: 66.917664, mae: 158.853592, mean_q: 172.648865
