Training for 100000 steps ...
     7/100000: episode: 1, duration: 0.064s, episode steps:   7, steps per second: 109, episode reward:  0.056, mean reward:  0.008 [ 0.002,  0.014], mean action: 16.143 [2.000, 30.000],  loss: --, mae: --, mean_q: --
 19374/100000: episode: 118, duration: 2.447s, episode steps: 267, steps per second: 109, episode reward:  0.114, mean reward:  0.000 [ 0.000,  0.008], mean action: 14.210 [0.000, 31.000],  loss: 7.768564, mae: 61.585762, mean_q: 66.101746
 19641/100000: episode: 119, duration: 2.363s, episode steps: 267, steps per second: 113, episode reward:  0.166, mean reward:  0.001 [ 0.000,  0.009], mean action: 14.775 [0.000, 31.000],  loss: 9.345096, mae: 62.818584, mean_q: 67.512276
 19908/100000: episode: 120, duration: 2.446s, episode steps: 267, steps per second: 109, episode reward:  0.080, mean reward:  0.000 [ 0.000,  0.011], mean action: 16.640 [0.000, 31.000],  loss: 7.500980, mae: 64.042137, mean_q: 68.691315
 20175/100000: episode: 121, duration: 2.391s, episode steps: 267, steps per second: 112, episode reward:  0.173, mean reward:  0.001 [ 0.000,  0.010], mean action: 14.824 [0.000, 31.000],  loss: 11.003963, mae: 64.950722, mean_q: 69.825111
 20442/100000: episode: 122, duration: 2.453s, episode steps: 267, steps per second: 109, episode reward:  0.067, mean reward:  0.000 [ 0.000,  0.008], mean action: 13.232 [0.000, 31.000],  loss: 11.649354, mae: 66.573090, mean_q: 71.568687
 20651/100000: episode: 123, duration: 1.916s, episode steps: 209, steps per second: 109, episode reward:  0.164, mean reward:  0.001 [-0.001,  0.011], mean action: 16.172 [0.000, 31.000],  loss: 8.698818, mae: 67.819496, mean_q: 72.905724
 20921/100000: episode: 124, duration: 2.485s, episode steps: 270, steps per second: 109, episode reward:  0.186, mean reward:  0.001 [ 0.000,  0.010], mean action: 16.415 [0.000, 31.000],  loss: 10.564013, mae: 68.575714, mean_q: 73.727394
 21188/100000: episode: 125, duration: 2.394s, episode steps: 267, steps per second: 112, episode reward:  0.144, mean reward:  0.001 [ 0.000,  0.011], mean action: 15.434 [0.000, 31.000],  loss: 14.267640, mae: 70.068794, mean_q: 75.409927
 21204/100000: episode: 126, duration: 0.197s, episode steps:  16, steps per second:  81, episode reward:  0.076, mean reward:  0.005 [-0.001,  0.010], mean action: 21.312 [2.000, 30.000],  loss: 12.395071, mae: 71.387032, mean_q: 76.890686
 21471/100000: episode: 127, duration: 2.369s, episode steps: 267, steps per second: 113, episode reward:  0.166, mean reward:  0.001 [ 0.000,  0.011], mean action: 15.498 [0.000, 31.000],  loss: 12.860083, mae: 71.264923, mean_q: 76.493698
 21738/100000: episode: 128, duration: 2.455s, episode steps: 267, steps per second: 109, episode reward:  0.168, mean reward:  0.001 [ 0.000,  0.012], mean action: 15.094 [0.000, 31.000],  loss: 13.567297, mae: 72.253624, mean_q: 77.483276
 22008/100000: episode: 129, duration: 2.390s, episode steps: 270, steps per second: 113, episode reward:  0.346, mean reward:  0.001 [ 0.000,  0.013], mean action: 15.059 [0.000, 31.000],  loss: 11.905275, mae: 73.518509, mean_q: 79.018288
 22275/100000: episode: 130, duration: 2.460s, episode steps: 267, steps per second: 109, episode reward:  0.170, mean reward:  0.001 [ 0.000,  0.009], mean action: 14.955 [0.000, 31.000],  loss: 14.768799, mae: 74.722618, mean_q: 80.376221
 22339/100000: episode: 131, duration: 0.576s, episode steps:  64, steps per second: 111, episode reward:  0.154, mean reward:  0.002 [-0.001,  0.013], mean action: 14.312 [1.000, 31.000],  loss: 7.926307, mae: 75.906158, mean_q: 81.537949
 22606/100000: episode: 132, duration: 2.451s, episode steps: 267, steps per second: 109, episode reward:  0.345, mean reward:  0.001 [ 0.000,  0.011], mean action: 16.502 [0.000, 31.000],  loss: 10.409036, mae: 76.526550, mean_q: 82.051285
 22873/100000: episode: 133, duration: 2.372s, episode steps: 267, steps per second: 113, episode reward:  0.168, mean reward:  0.001 [ 0.000,  0.010], mean action: 15.360 [0.000, 31.000],  loss: 11.985891, mae: 78.260628, mean_q: 83.898453
 23140/100000: episode: 134, duration: 2.437s, episode steps: 267, steps per second: 110, episode reward:  0.168, mean reward:  0.001 [ 0.000,  0.010], mean action: 14.360 [0.000, 31.000],  loss: 18.294815, mae: 78.787109, mean_q: 84.542038
 23240/100000: episode: 135, duration: 0.902s, episode steps: 100, steps per second: 111, episode reward:  0.103, mean reward:  0.001 [-0.001,  0.010], mean action: 14.260 [0.000, 31.000],  loss: 12.599545, mae: 79.533592, mean_q: 85.352318
 23357/100000: episode: 136, duration: 1.085s, episode steps: 117, steps per second: 108, episode reward:  0.164, mean reward:  0.001 [-0.001,  0.010], mean action: 15.615 [0.000, 31.000],  loss: 12.538649, mae: 79.418304, mean_q: 85.196754
 23385/100000: episode: 137, duration: 0.254s, episode steps:  28, steps per second: 110, episode reward:  0.053, mean reward:  0.002 [ 0.000,  0.008], mean action: 16.893 [2.000, 30.000],  loss: 9.317820, mae: 79.775108, mean_q: 85.387070
 23652/100000: episode: 138, duration: 2.448s, episode steps: 267, steps per second: 109, episode reward:  0.168, mean reward:  0.001 [ 0.000,  0.011], mean action: 15.109 [0.000, 31.000],  loss: 14.318235, mae: 80.319122, mean_q: 85.983849
 23767/100000: episode: 139, duration: 1.072s, episode steps: 115, steps per second: 107, episode reward:  0.057, mean reward:  0.000 [-0.001,  0.009], mean action: 18.313 [0.000, 31.000],  loss: 12.410212, mae: 81.911163, mean_q: 87.964668
 24034/100000: episode: 140, duration: 2.412s, episode steps: 267, steps per second: 111, episode reward:  0.165, mean reward:  0.001 [ 0.000,  0.009], mean action: 14.015 [0.000, 31.000],  loss: 10.818949, mae: 82.100449, mean_q: 87.852577
 24080/100000: episode: 141, duration: 0.412s, episode steps:  46, steps per second: 112, episode reward:  0.072, mean reward:  0.002 [-0.001,  0.010], mean action: 10.326 [0.000, 31.000],  loss: 14.569614, mae: 82.285614, mean_q: 88.391960
 24324/100000: episode: 142, duration: 2.264s, episode steps: 244, steps per second: 108, episode reward:  0.154, mean reward:  0.001 [-0.001,  0.011], mean action: 15.586 [0.000, 31.000],  loss: 17.440729, mae: 82.477989, mean_q: 88.445099
 24591/100000: episode: 143, duration: 2.401s, episode steps: 267, steps per second: 111, episode reward:  0.165, mean reward:  0.001 [ 0.000,  0.010], mean action: 14.869 [0.000, 31.000],  loss: 14.210818, mae: 83.416168, mean_q: 89.393600
 24858/100000: episode: 144, duration: 2.445s, episode steps: 267, steps per second: 109, episode reward:  0.134, mean reward:  0.001 [ 0.000,  0.010], mean action: 16.573 [0.000, 31.000],  loss: 16.154198, mae: 84.469833, mean_q: 90.569901
 25125/100000: episode: 145, duration: 2.448s, episode steps: 267, steps per second: 109, episode reward:  0.348, mean reward:  0.001 [ 0.000,  0.013], mean action: 13.584 [0.000, 31.000],  loss: 18.517530, mae: 85.557663, mean_q: 91.746979
 25392/100000: episode: 146, duration: 2.416s, episode steps: 267, steps per second: 111, episode reward:  0.168, mean reward:  0.001 [ 0.000,  0.009], mean action: 14.258 [0.000, 31.000],  loss: 14.917399, mae: 86.472778, mean_q: 92.693878
 25659/100000: episode: 147, duration: 2.472s, episode steps: 267, steps per second: 108, episode reward:  0.348, mean reward:  0.001 [ 0.000,  0.013], mean action: 15.082 [0.000, 31.000],  loss: 20.325422, mae: 87.648567, mean_q: 94.043144
 25926/100000: episode: 148, duration: 2.430s, episode steps: 267, steps per second: 110, episode reward:  0.175, mean reward:  0.001 [ 0.000,  0.010], mean action: 15.000 [0.000, 31.000],  loss: 16.908859, mae: 88.590622, mean_q: 94.839127
 26193/100000: episode: 149, duration: 2.448s, episode steps: 267, steps per second: 109, episode reward:  0.139, mean reward:  0.001 [ 0.000,  0.009], mean action: 14.472 [0.000, 31.000],  loss: 22.307827, mae: 89.597832, mean_q: 96.106766
 26460/100000: episode: 150, duration: 2.398s, episode steps: 267, steps per second: 111, episode reward:  0.168, mean reward:  0.001 [ 0.000,  0.011], mean action: 14.835 [0.000, 31.000],  loss: 14.367493, mae: 91.407379, mean_q: 98.032745
 26727/100000: episode: 151, duration: 2.468s, episode steps: 267, steps per second: 108, episode reward:  0.344, mean reward:  0.001 [ 0.000,  0.012], mean action: 15.584 [0.000, 31.000],  loss: 20.392424, mae: 92.754257, mean_q: 99.491966
 26994/100000: episode: 152, duration: 2.412s, episode steps: 267, steps per second: 111, episode reward:  0.167, mean reward:  0.001 [ 0.000,  0.012], mean action: 14.472 [0.000, 31.000],  loss: 19.323277, mae: 93.722832, mean_q: 100.469353
 27261/100000: episode: 153, duration: 2.465s, episode steps: 267, steps per second: 108, episode reward:  0.343, mean reward:  0.001 [ 0.000,  0.011], mean action: 14.996 [0.000, 31.000],  loss: 22.054123, mae: 94.707466, mean_q: 101.586433
 27528/100000: episode: 154, duration: 2.488s, episode steps: 267, steps per second: 107, episode reward:  0.248, mean reward:  0.001 [ 0.000,  0.012], mean action: 14.708 [0.000, 31.000],  loss: 16.872221, mae: 96.370987, mean_q: 103.176086
 27633/100000: episode: 155, duration: 0.930s, episode steps: 105, steps per second: 113, episode reward:  0.171, mean reward:  0.002 [-0.001,  0.016], mean action: 16.448 [1.000, 31.000],  loss: 33.771030, mae: 96.467186, mean_q: 103.423538
 27900/100000: episode: 156, duration: 2.474s, episode steps: 267, steps per second: 108, episode reward:  0.131, mean reward:  0.000 [ 0.000,  0.010], mean action: 17.056 [0.000, 31.000],  loss: 25.994879, mae: 97.699165, mean_q: 104.800957
 28167/100000: episode: 157, duration: 2.394s, episode steps: 267, steps per second: 112, episode reward:  0.166, mean reward:  0.001 [ 0.000,  0.013], mean action: 15.034 [0.000, 31.000],  loss: 22.598942, mae: 99.150047, mean_q: 106.284180
 28434/100000: episode: 158, duration: 2.457s, episode steps: 267, steps per second: 109, episode reward:  0.341, mean reward:  0.001 [ 0.000,  0.011], mean action: 14.419 [0.000, 30.000],  loss: 25.943344, mae: 100.066536, mean_q: 107.318344
 28701/100000: episode: 159, duration: 2.411s, episode steps: 267, steps per second: 111, episode reward:  0.152, mean reward:  0.001 [ 0.000,  0.009], mean action: 16.315 [0.000, 31.000],  loss: 25.086941, mae: 101.127396, mean_q: 108.415512
 28968/100000: episode: 160, duration: 2.450s, episode steps: 267, steps per second: 109, episode reward:  0.162, mean reward:  0.001 [ 0.000,  0.010], mean action: 13.270 [0.000, 31.000],  loss: 24.833282, mae: 101.611526, mean_q: 108.777664
 29237/100000: episode: 161, duration: 2.501s, episode steps: 269, steps per second: 108, episode reward:  0.335, mean reward:  0.001 [ 0.000,  0.013], mean action: 15.442 [0.000, 31.000],  loss: 27.394062, mae: 102.232941, mean_q: 109.462929
 29404/100000: episode: 162, duration: 1.523s, episode steps: 167, steps per second: 110, episode reward:  0.158, mean reward:  0.001 [-0.001,  0.011], mean action: 15.180 [0.000, 31.000],  loss: 21.406654, mae: 103.575577, mean_q: 110.712402
 29671/100000: episode: 163, duration: 2.409s, episode steps: 267, steps per second: 111, episode reward:  0.206, mean reward:  0.001 [ 0.000,  0.014], mean action: 15.468 [0.000, 31.000],  loss: 27.257246, mae: 103.841408, mean_q: 111.103073
 29938/100000: episode: 164, duration: 2.455s, episode steps: 267, steps per second: 109, episode reward:  0.138, mean reward:  0.001 [ 0.000,  0.009], mean action: 13.146 [0.000, 31.000],  loss: 24.371014, mae: 104.821007, mean_q: 112.234085
 29961/100000: episode: 165, duration: 0.217s, episode steps:  23, steps per second: 106, episode reward:  0.050, mean reward:  0.002 [-0.001,  0.009], mean action: 15.174 [0.000, 31.000],  loss: 30.016350, mae: 106.194695, mean_q: 114.123947
 30224/100000: episode: 166, duration: 2.361s, episode steps: 263, steps per second: 111, episode reward:  0.163, mean reward:  0.001 [-0.001,  0.013], mean action: 14.973 [0.000, 31.000],  loss: 32.305531, mae: 105.945389, mean_q: 113.595695
 30491/100000: episode: 167, duration: 2.496s, episode steps: 267, steps per second: 107, episode reward:  0.149, mean reward:  0.001 [ 0.000,  0.012], mean action: 13.689 [0.000, 31.000],  loss: 25.517849, mae: 106.715492, mean_q: 114.303925
 30552/100000: episode: 168, duration: 0.536s, episode steps:  61, steps per second: 114, episode reward:  0.049, mean reward:  0.001 [-0.001,  0.009], mean action: 15.098 [0.000, 31.000],  loss: 23.862352, mae: 107.453499, mean_q: 114.994942
 30819/100000: episode: 169, duration: 2.464s, episode steps: 267, steps per second: 108, episode reward:  0.168, mean reward:  0.001 [ 0.000,  0.009], mean action: 16.622 [0.000, 31.000],  loss: 22.312380, mae: 108.718369, mean_q: 116.384529
 31086/100000: episode: 170, duration: 2.432s, episode steps: 267, steps per second: 110, episode reward:  0.153, mean reward:  0.001 [ 0.000,  0.009], mean action: 15.640 [0.000, 31.000],  loss: 29.391214, mae: 109.513214, mean_q: 117.218742
 31102/100000: episode: 171, duration: 0.197s, episode steps:  16, steps per second:  81, episode reward:  0.050, mean reward:  0.003 [-0.000,  0.007], mean action: 16.812 [2.000, 31.000],  loss: 30.128197, mae: 110.634079, mean_q: 118.274643
 31369/100000: episode: 172, duration: 2.425s, episode steps: 267, steps per second: 110, episode reward:  0.116, mean reward:  0.000 [ 0.000,  0.009], mean action: 16.491 [0.000, 31.000],  loss: 32.529152, mae: 110.012688, mean_q: 117.659500
 31636/100000: episode: 173, duration: 2.468s, episode steps: 267, steps per second: 108, episode reward:  0.173, mean reward:  0.001 [ 0.000,  0.011], mean action: 15.547 [0.000, 31.000],  loss: 30.287159, mae: 111.121208, mean_q: 118.890717
 31903/100000: episode: 174, duration: 2.426s, episode steps: 267, steps per second: 110, episode reward:  0.336, mean reward:  0.001 [ 0.000,  0.012], mean action: 15.434 [0.000, 31.000],  loss: 41.558823, mae: 111.073357, mean_q: 119.082687
 32170/100000: episode: 175, duration: 2.600s, episode steps: 267, steps per second: 103, episode reward:  0.346, mean reward:  0.001 [ 0.000,  0.012], mean action: 15.861 [0.000, 31.000],  loss: 26.222990, mae: 111.434853, mean_q: 119.500900
 32437/100000: episode: 176, duration: 2.440s, episode steps: 267, steps per second: 109, episode reward:  0.330, mean reward:  0.001 [ 0.000,  0.010], mean action: 14.760 [0.000, 31.000],  loss: 31.730362, mae: 112.465080, mean_q: 120.496231
 32536/100000: episode: 177, duration: 0.951s, episode steps:  99, steps per second: 104, episode reward:  0.049, mean reward:  0.000 [-0.001,  0.008], mean action: 13.808 [0.000, 31.000],  loss: 38.659718, mae: 112.995476, mean_q: 121.226601
 32805/100000: episode: 178, duration: 2.454s, episode steps: 269, steps per second: 110, episode reward:  0.340, mean reward:  0.001 [ 0.000,  0.012], mean action: 14.576 [0.000, 31.000],  loss: 37.225735, mae: 113.448753, mean_q: 121.585068
 32816/100000: episode: 179, duration: 0.159s, episode steps:  11, steps per second:  69, episode reward:  0.054, mean reward:  0.005 [ 0.000,  0.012], mean action: 18.909 [7.000, 30.000],  loss: 13.257491, mae: 114.805344, mean_q: 123.499832
 33083/100000: episode: 180, duration: 2.421s, episode steps: 267, steps per second: 110, episode reward:  0.126, mean reward:  0.000 [ 0.000,  0.009], mean action: 15.461 [0.000, 31.000],  loss: 27.269037, mae: 114.804237, mean_q: 123.288567
 33350/100000: episode: 181, duration: 2.455s, episode steps: 267, steps per second: 109, episode reward:  0.063, mean reward:  0.000 [ 0.000,  0.007], mean action: 14.408 [0.000, 31.000],  loss: 36.527493, mae: 116.255730, mean_q: 124.618301
 33617/100000: episode: 182, duration: 2.420s, episode steps: 267, steps per second: 110, episode reward:  0.151, mean reward:  0.001 [ 0.000,  0.010], mean action: 14.644 [0.000, 31.000],  loss: 35.359154, mae: 117.353073, mean_q: 125.524986
 33884/100000: episode: 183, duration: 2.479s, episode steps: 267, steps per second: 108, episode reward:  0.156, mean reward:  0.001 [ 0.000,  0.010], mean action: 15.041 [0.000, 31.000],  loss: 35.890217, mae: 118.425209, mean_q: 127.048660
 33976/100000: episode: 184, duration: 0.829s, episode steps:  92, steps per second: 111, episode reward:  0.152, mean reward:  0.002 [-0.001,  0.010], mean action: 15.196 [0.000, 31.000],  loss: 34.910969, mae: 118.918350, mean_q: 127.449852
 34243/100000: episode: 185, duration: 2.493s, episode steps: 267, steps per second: 107, episode reward:  0.162, mean reward:  0.001 [ 0.000,  0.011], mean action: 15.401 [0.000, 31.000],  loss: 30.517401, mae: 119.744209, mean_q: 128.218552
 34510/100000: episode: 186, duration: 2.498s, episode steps: 267, steps per second: 107, episode reward:  0.339, mean reward:  0.001 [ 0.000,  0.013], mean action: 15.258 [0.000, 31.000],  loss: 37.293827, mae: 120.272034, mean_q: 128.782181
 34779/100000: episode: 187, duration: 2.458s, episode steps: 269, steps per second: 109, episode reward:  0.350, mean reward:  0.001 [ 0.000,  0.010], mean action: 14.368 [0.000, 31.000],  loss: 32.971443, mae: 120.666885, mean_q: 129.171829
 34935/100000: episode: 188, duration: 1.450s, episode steps: 156, steps per second: 108, episode reward:  0.159, mean reward:  0.001 [-0.001,  0.010], mean action: 14.705 [1.000, 31.000],  loss: 30.294806, mae: 121.953400, mean_q: 130.625122
 35143/100000: episode: 189, duration: 1.908s, episode steps: 208, steps per second: 109, episode reward:  0.051, mean reward:  0.000 [-0.001,  0.007], mean action: 13.822 [0.000, 31.000],  loss: 37.809811, mae: 122.182198, mean_q: 130.947479
 35410/100000: episode: 190, duration: 2.473s, episode steps: 267, steps per second: 108, episode reward:  0.149, mean reward:  0.001 [ 0.000,  0.010], mean action: 17.266 [0.000, 31.000],  loss: 38.080498, mae: 123.097832, mean_q: 131.597351
 35677/100000: episode: 191, duration: 2.430s, episode steps: 267, steps per second: 110, episode reward:  0.113, mean reward:  0.000 [ 0.000,  0.008], mean action: 15.468 [0.000, 31.000],  loss: 37.266979, mae: 123.246033, mean_q: 131.904129
 35837/100000: episode: 192, duration: 1.495s, episode steps: 160, steps per second: 107, episode reward:  0.152, mean reward:  0.001 [-0.001,  0.008], mean action: 16.381 [0.000, 31.000],  loss: 30.540943, mae: 124.429703, mean_q: 133.390533
 36104/100000: episode: 193, duration: 2.469s, episode steps: 267, steps per second: 108, episode reward:  0.347, mean reward:  0.001 [ 0.000,  0.016], mean action: 14.442 [0.000, 31.000],  loss: 34.255905, mae: 125.001434, mean_q: 133.699997
 36371/100000: episode: 194, duration: 2.457s, episode steps: 267, steps per second: 109, episode reward:  0.066, mean reward:  0.000 [ 0.000,  0.007], mean action: 14.015 [0.000, 31.000],  loss: 39.603310, mae: 125.233948, mean_q: 134.150192
 36638/100000: episode: 195, duration: 2.489s, episode steps: 267, steps per second: 107, episode reward:  0.162, mean reward:  0.001 [ 0.000,  0.013], mean action: 15.618 [0.000, 31.000],  loss: 39.453812, mae: 126.006805, mean_q: 134.957260
 36677/100000: episode: 196, duration: 0.360s, episode steps:  39, steps per second: 108, episode reward:  0.054, mean reward:  0.001 [ 0.000,  0.007], mean action: 15.051 [0.000, 30.000],  loss: 70.006149, mae: 125.573257, mean_q: 134.489639
 36944/100000: episode: 197, duration: 2.496s, episode steps: 267, steps per second: 107, episode reward:  0.151, mean reward:  0.001 [ 0.000,  0.011], mean action: 17.071 [0.000, 31.000],  loss: 47.207623, mae: 125.813583, mean_q: 134.909119
 37211/100000: episode: 198, duration: 2.435s, episode steps: 267, steps per second: 110, episode reward:  0.159, mean reward:  0.001 [ 0.000,  0.012], mean action: 16.161 [0.000, 31.000],  loss: 41.057526, mae: 127.088951, mean_q: 136.129791
 37478/100000: episode: 199, duration: 2.477s, episode steps: 267, steps per second: 108, episode reward:  0.157, mean reward:  0.001 [ 0.000,  0.012], mean action: 10.895 [0.000, 31.000],  loss: 55.648479, mae: 127.640419, mean_q: 136.692978
 37568/100000: episode: 200, duration: 0.870s, episode steps:  90, steps per second: 103, episode reward:  0.154, mean reward:  0.002 [-0.000,  0.012], mean action: 15.033 [0.000, 31.000],  loss: 45.189438, mae: 128.330643, mean_q: 137.328796
 37837/100000: episode: 201, duration: 2.454s, episode steps: 269, steps per second: 110, episode reward:  0.138, mean reward:  0.001 [ 0.000,  0.011], mean action: 14.242 [0.000, 31.000],  loss: 42.227718, mae: 129.035828, mean_q: 138.322235
 38104/100000: episode: 202, duration: 2.503s, episode steps: 267, steps per second: 107, episode reward:  0.161, mean reward:  0.001 [ 0.000,  0.009], mean action: 15.101 [0.000, 31.000],  loss: 38.386623, mae: 129.296143, mean_q: 138.440704
 38222/100000: episode: 203, duration: 1.050s, episode steps: 118, steps per second: 112, episode reward:  0.150, mean reward:  0.001 [-0.001,  0.011], mean action: 17.593 [0.000, 31.000],  loss: 36.881401, mae: 130.242004, mean_q: 139.333679
 38489/100000: episode: 204, duration: 2.495s, episode steps: 267, steps per second: 107, episode reward:  0.075, mean reward:  0.000 [ 0.000,  0.008], mean action: 14.393 [0.000, 31.000],  loss: 51.105995, mae: 130.277908, mean_q: 139.723572
 38756/100000: episode: 205, duration: 2.500s, episode steps: 267, steps per second: 107, episode reward:  0.134, mean reward:  0.001 [ 0.000,  0.010], mean action: 16.888 [2.000, 31.000],  loss: 51.246868, mae: 131.155563, mean_q: 140.617065
 38789/100000: episode: 206, duration: 0.312s, episode steps:  33, steps per second: 106, episode reward:  0.058, mean reward:  0.002 [-0.001,  0.010], mean action: 16.333 [2.000, 31.000],  loss: 53.469570, mae: 131.302948, mean_q: 140.871841
 39056/100000: episode: 207, duration: 2.448s, episode steps: 267, steps per second: 109, episode reward:  0.324, mean reward:  0.001 [ 0.000,  0.014], mean action: 14.034 [0.000, 31.000],  loss: 49.296268, mae: 131.627335, mean_q: 140.982437
 39323/100000: episode: 208, duration: 2.510s, episode steps: 267, steps per second: 106, episode reward:  0.156, mean reward:  0.001 [ 0.000,  0.010], mean action: 13.536 [0.000, 31.000],  loss: 44.576649, mae: 132.545547, mean_q: 141.846848
 39590/100000: episode: 209, duration: 2.428s, episode steps: 267, steps per second: 110, episode reward:  0.179, mean reward:  0.001 [ 0.000,  0.009], mean action: 15.022 [0.000, 31.000],  loss: 46.726059, mae: 133.447403, mean_q: 143.062347
 39691/100000: episode: 210, duration: 0.965s, episode steps: 101, steps per second: 105, episode reward:  0.074, mean reward:  0.001 [-0.001,  0.011], mean action: 14.881 [0.000, 31.000],  loss: 33.433887, mae: 133.904922, mean_q: 143.535629
 39958/100000: episode: 211, duration: 2.488s, episode steps: 267, steps per second: 107, episode reward:  0.084, mean reward:  0.000 [ 0.000,  0.009], mean action: 15.921 [0.000, 31.000],  loss: 52.125443, mae: 134.033646, mean_q: 143.704620
 40225/100000: episode: 212, duration: 2.435s, episode steps: 267, steps per second: 110, episode reward:  0.120, mean reward:  0.000 [ 0.000,  0.010], mean action: 17.281 [0.000, 31.000],  loss: 48.974133, mae: 135.128601, mean_q: 144.822296
 40235/100000: episode: 213, duration: 0.100s, episode steps:  10, steps per second: 100, episode reward:  0.053, mean reward:  0.005 [ 0.002,  0.010], mean action: 12.100 [2.000, 26.000],  loss: 129.474091, mae: 136.486115, mean_q: 146.479156
 40504/100000: episode: 214, duration: 2.509s, episode steps: 269, steps per second: 107, episode reward:  0.068, mean reward:  0.000 [ 0.000,  0.010], mean action: 13.007 [0.000, 28.000],  loss: 43.920403, mae: 135.730927, mean_q: 145.360443
 40771/100000: episode: 215, duration: 2.425s, episode steps: 267, steps per second: 110, episode reward:  0.327, mean reward:  0.001 [ 0.000,  0.010], mean action: 17.393 [0.000, 31.000],  loss: 43.617245, mae: 136.197113, mean_q: 145.840027
 41038/100000: episode: 216, duration: 2.516s, episode steps: 267, steps per second: 106, episode reward:  0.177, mean reward:  0.001 [ 0.000,  0.009], mean action: 16.850 [0.000, 31.000],  loss: 57.289375, mae: 136.219482, mean_q: 146.065567
 41305/100000: episode: 217, duration: 2.539s, episode steps: 267, steps per second: 105, episode reward:  0.160, mean reward:  0.001 [ 0.000,  0.009], mean action: 16.663 [0.000, 31.000],  loss: 48.749332, mae: 137.219711, mean_q: 147.118698
 41527/100000: episode: 218, duration: 2.058s, episode steps: 222, steps per second: 108, episode reward:  0.343, mean reward:  0.002 [-0.001,  0.011], mean action: 15.676 [0.000, 31.000],  loss: 43.198654, mae: 137.579636, mean_q: 147.270004
 41794/100000: episode: 219, duration: 2.466s, episode steps: 267, steps per second: 108, episode reward:  0.340, mean reward:  0.001 [ 0.000,  0.015], mean action: 13.206 [0.000, 31.000],  loss: 63.799465, mae: 137.683899, mean_q: 147.834641
 42061/100000: episode: 220, duration: 2.491s, episode steps: 267, steps per second: 107, episode reward:  0.110, mean reward:  0.000 [ 0.000,  0.008], mean action: 12.899 [0.000, 31.000],  loss: 54.200150, mae: 137.839478, mean_q: 147.914444
 42215/100000: episode: 221, duration: 1.421s, episode steps: 154, steps per second: 108, episode reward:  0.331, mean reward:  0.002 [-0.001,  0.012], mean action: 16.383 [0.000, 31.000],  loss: 32.541328, mae: 138.582077, mean_q: 148.589676
 42482/100000: episode: 222, duration: 2.428s, episode steps: 267, steps per second: 110, episode reward:  0.113, mean reward:  0.000 [ 0.000,  0.009], mean action: 14.517 [0.000, 31.000],  loss: 49.838165, mae: 139.335648, mean_q: 149.339294
 42749/100000: episode: 223, duration: 2.530s, episode steps: 267, steps per second: 106, episode reward:  0.157, mean reward:  0.001 [ 0.000,  0.012], mean action: 15.461 [0.000, 31.000],  loss: 56.358006, mae: 140.300613, mean_q: 150.268661
 42768/100000: episode: 224, duration: 0.181s, episode steps:  19, steps per second: 105, episode reward:  0.056, mean reward:  0.003 [-0.001,  0.011], mean action: 13.421 [2.000, 30.000],  loss: 14.400076, mae: 141.113251, mean_q: 151.295029
 43035/100000: episode: 225, duration: 2.529s, episode steps: 267, steps per second: 106, episode reward:  0.134, mean reward:  0.001 [ 0.000,  0.009], mean action: 16.154 [0.000, 31.000],  loss: 51.409061, mae: 141.375931, mean_q: 151.555161
 43302/100000: episode: 226, duration: 2.429s, episode steps: 267, steps per second: 110, episode reward:  0.155, mean reward:  0.001 [ 0.000,  0.009], mean action: 15.097 [0.000, 31.000],  loss: 61.952320, mae: 141.869080, mean_q: 151.931595
 43569/100000: episode: 227, duration: 2.537s, episode steps: 267, steps per second: 105, episode reward:  0.120, mean reward:  0.000 [ 0.000,  0.008], mean action: 16.498 [0.000, 31.000],  loss: 51.673409, mae: 142.111328, mean_q: 152.431732
 43836/100000: episode: 228, duration: 2.449s, episode steps: 267, steps per second: 109, episode reward:  0.058, mean reward:  0.000 [ 0.000,  0.008], mean action: 9.157 [0.000, 31.000],  loss: 46.912868, mae: 142.606201, mean_q: 152.711472
 43997/100000: episode: 229, duration: 1.487s, episode steps: 161, steps per second: 108, episode reward:  0.335, mean reward:  0.002 [ 0.000,  0.010], mean action: 12.677 [0.000, 31.000],  loss: 64.613663, mae: 143.155991, mean_q: 153.579651
 44264/100000: episode: 230, duration: 2.510s, episode steps: 267, steps per second: 106, episode reward:  0.154, mean reward:  0.001 [ 0.000,  0.009], mean action: 16.142 [0.000, 31.000],  loss: 42.041042, mae: 142.886963, mean_q: 153.138153
 44531/100000: episode: 231, duration: 2.527s, episode steps: 267, steps per second: 106, episode reward:  0.052, mean reward:  0.000 [ 0.000,  0.008], mean action: 4.581 [0.000, 31.000],  loss: 56.782009, mae: 143.408096, mean_q: 153.676804
 44798/100000: episode: 232, duration: 2.450s, episode steps: 267, steps per second: 109, episode reward:  0.342, mean reward:  0.001 [ 0.000,  0.013], mean action: 15.772 [0.000, 31.000],  loss: 50.201839, mae: 144.081039, mean_q: 154.332932
 45065/100000: episode: 233, duration: 2.534s, episode steps: 267, steps per second: 105, episode reward:  0.159, mean reward:  0.001 [ 0.000,  0.012], mean action: 16.625 [0.000, 31.000],  loss: 53.447544, mae: 143.933289, mean_q: 154.364655
