Training for 100000 steps ...
    91/100000: episode: 1, duration: 1.171s, episode steps:  91, steps per second:  78, episode reward:  0.052, mean reward:  0.001 [-0.001,  0.006], mean action: 15.538 [0.000, 31.000],  loss: --, mae: --, mean_q: --
 19199/100000: episode: 118, duration: 2.439s, episode steps: 267, steps per second: 109, episode reward:  0.063, mean reward:  0.000 [ 0.000,  0.011], mean action: 14.221 [0.000, 31.000],  loss: 5.112339, mae: 46.492607, mean_q: 50.008026
 19466/100000: episode: 119, duration: 2.415s, episode steps: 267, steps per second: 111, episode reward:  0.058, mean reward:  0.000 [ 0.000,  0.009], mean action: 13.217 [0.000, 31.000],  loss: 4.851371, mae: 47.454548, mean_q: 51.013626
 19711/100000: episode: 120, duration: 2.832s, episode steps: 245, steps per second:  87, episode reward:  0.151, mean reward:  0.001 [-0.001,  0.009], mean action: 16.478 [0.000, 31.000],  loss: 3.282156, mae: 48.406387, mean_q: 51.942978
 19978/100000: episode: 121, duration: 2.598s, episode steps: 267, steps per second: 103, episode reward:  0.353, mean reward:  0.001 [ 0.000,  0.014], mean action: 14.787 [0.000, 31.000],  loss: 4.007664, mae: 49.464317, mean_q: 53.088291
 20245/100000: episode: 122, duration: 2.581s, episode steps: 267, steps per second: 103, episode reward:  0.169, mean reward:  0.001 [ 0.000,  0.011], mean action: 15.719 [0.000, 31.000],  loss: 5.134133, mae: 50.444927, mean_q: 54.105946
 20512/100000: episode: 123, duration: 2.590s, episode steps: 267, steps per second: 103, episode reward:  0.317, mean reward:  0.001 [ 0.000,  0.012], mean action: 16.157 [0.000, 31.000],  loss: 4.064073, mae: 51.214382, mean_q: 54.921413
 20779/100000: episode: 124, duration: 2.489s, episode steps: 267, steps per second: 107, episode reward:  0.070, mean reward:  0.000 [ 0.000,  0.013], mean action: 13.880 [0.000, 31.000],  loss: 4.572255, mae: 51.822666, mean_q: 55.554737
 21046/100000: episode: 125, duration: 2.410s, episode steps: 267, steps per second: 111, episode reward:  0.130, mean reward:  0.000 [ 0.000,  0.011], mean action: 16.431 [0.000, 31.000],  loss: 6.820079, mae: 52.309158, mean_q: 56.141144
 21162/100000: episode: 126, duration: 1.031s, episode steps: 116, steps per second: 113, episode reward:  0.166, mean reward:  0.001 [-0.001,  0.011], mean action: 15.103 [0.000, 31.000],  loss: 4.930607, mae: 52.774532, mean_q: 56.580044
 21429/100000: episode: 127, duration: 2.480s, episode steps: 267, steps per second: 108, episode reward:  0.138, mean reward:  0.001 [ 0.000,  0.009], mean action: 16.809 [0.000, 31.000],  loss: 6.258680, mae: 53.218224, mean_q: 57.214718
 21696/100000: episode: 128, duration: 2.646s, episode steps: 267, steps per second: 101, episode reward:  0.285, mean reward:  0.001 [ 0.000,  0.011], mean action: 16.524 [0.000, 31.000],  loss: 5.455347, mae: 54.071323, mean_q: 58.109032
 21965/100000: episode: 129, duration: 2.631s, episode steps: 269, steps per second: 102, episode reward:  0.154, mean reward:  0.001 [ 0.000,  0.012], mean action: 14.732 [0.000, 31.000],  loss: 6.079259, mae: 54.976257, mean_q: 59.085140
 22232/100000: episode: 130, duration: 2.585s, episode steps: 267, steps per second: 103, episode reward:  0.133, mean reward:  0.000 [ 0.000,  0.009], mean action: 14.386 [0.000, 31.000],  loss: 6.935804, mae: 55.811687, mean_q: 59.924187
 22499/100000: episode: 131, duration: 2.593s, episode steps: 267, steps per second: 103, episode reward:  0.166, mean reward:  0.001 [ 0.000,  0.014], mean action: 15.498 [0.000, 31.000],  loss: 6.363180, mae: 56.633282, mean_q: 60.790276
 22766/100000: episode: 132, duration: 2.688s, episode steps: 267, steps per second:  99, episode reward:  0.160, mean reward:  0.001 [ 0.000,  0.010], mean action: 15.337 [0.000, 31.000],  loss: 5.771379, mae: 57.601730, mean_q: 61.792866
 23033/100000: episode: 133, duration: 2.575s, episode steps: 267, steps per second: 104, episode reward:  0.067, mean reward:  0.000 [ 0.000,  0.010], mean action: 13.663 [0.000, 31.000],  loss: 5.483768, mae: 58.398563, mean_q: 62.729607
 23300/100000: episode: 134, duration: 2.627s, episode steps: 267, steps per second: 102, episode reward:  0.144, mean reward:  0.001 [ 0.000,  0.010], mean action: 14.551 [0.000, 31.000],  loss: 5.408253, mae: 59.601662, mean_q: 63.871140
 23567/100000: episode: 135, duration: 2.777s, episode steps: 267, steps per second:  96, episode reward:  0.057, mean reward:  0.000 [ 0.000,  0.008], mean action: 15.311 [0.000, 31.000],  loss: 6.491224, mae: 60.414963, mean_q: 64.801903
 23729/100000: episode: 136, duration: 1.733s, episode steps: 162, steps per second:  93, episode reward:  0.127, mean reward:  0.001 [-0.001,  0.012], mean action: 14.772 [0.000, 31.000],  loss: 4.642973, mae: 60.861351, mean_q: 65.292152
 23996/100000: episode: 137, duration: 2.549s, episode steps: 267, steps per second: 105, episode reward:  0.151, mean reward:  0.001 [ 0.000,  0.011], mean action: 14.292 [0.000, 31.000],  loss: 6.931195, mae: 61.341808, mean_q: 65.779274
 24265/100000: episode: 138, duration: 2.519s, episode steps: 269, steps per second: 107, episode reward:  0.314, mean reward:  0.001 [ 0.000,  0.014], mean action: 13.599 [0.000, 31.000],  loss: 7.395598, mae: 61.952740, mean_q: 66.537003
 24532/100000: episode: 139, duration: 2.465s, episode steps: 267, steps per second: 108, episode reward:  0.336, mean reward:  0.001 [ 0.000,  0.012], mean action: 15.783 [0.000, 31.000],  loss: 6.270030, mae: 62.519539, mean_q: 67.007652
 24799/100000: episode: 140, duration: 2.725s, episode steps: 267, steps per second:  98, episode reward:  0.162, mean reward:  0.001 [ 0.000,  0.011], mean action: 14.206 [0.000, 31.000],  loss: 7.164368, mae: 63.137386, mean_q: 67.711143
 25066/100000: episode: 141, duration: 2.375s, episode steps: 267, steps per second: 112, episode reward:  0.157, mean reward:  0.001 [ 0.000,  0.011], mean action: 14.727 [0.000, 31.000],  loss: 6.464830, mae: 63.700630, mean_q: 68.333946
 25212/100000: episode: 142, duration: 1.336s, episode steps: 146, steps per second: 109, episode reward:  0.158, mean reward:  0.001 [-0.001,  0.015], mean action: 16.466 [0.000, 31.000],  loss: 9.648111, mae: 64.272026, mean_q: 68.954033
 25404/100000: episode: 143, duration: 1.888s, episode steps: 192, steps per second: 102, episode reward:  0.160, mean reward:  0.001 [-0.001,  0.011], mean action: 14.370 [0.000, 31.000],  loss: 8.782156, mae: 64.796432, mean_q: 69.570992
 25671/100000: episode: 144, duration: 2.549s, episode steps: 267, steps per second: 105, episode reward:  0.153, mean reward:  0.001 [ 0.000,  0.009], mean action: 15.232 [0.000, 31.000],  loss: 8.203876, mae: 65.555252, mean_q: 70.340897
 25938/100000: episode: 145, duration: 2.398s, episode steps: 267, steps per second: 111, episode reward:  0.343, mean reward:  0.001 [ 0.000,  0.012], mean action: 15.202 [0.000, 31.000],  loss: 7.033700, mae: 66.469566, mean_q: 71.302383
 26205/100000: episode: 146, duration: 2.507s, episode steps: 267, steps per second: 106, episode reward:  0.328, mean reward:  0.001 [ 0.000,  0.012], mean action: 15.670 [0.000, 31.000],  loss: 8.115817, mae: 67.002815, mean_q: 71.783470
 26472/100000: episode: 147, duration: 2.475s, episode steps: 267, steps per second: 108, episode reward:  0.164, mean reward:  0.001 [ 0.000,  0.013], mean action: 15.644 [0.000, 31.000],  loss: 8.664317, mae: 67.261185, mean_q: 72.003212
 26739/100000: episode: 148, duration: 3.121s, episode steps: 267, steps per second:  86, episode reward:  0.149, mean reward:  0.001 [ 0.000,  0.011], mean action: 16.614 [0.000, 31.000],  loss: 9.839665, mae: 67.643143, mean_q: 72.485634
 26971/100000: episode: 149, duration: 2.352s, episode steps: 232, steps per second:  99, episode reward:  0.159, mean reward:  0.001 [-0.001,  0.013], mean action: 15.466 [0.000, 31.000],  loss: 11.308180, mae: 68.341820, mean_q: 73.288139
 27238/100000: episode: 150, duration: 2.492s, episode steps: 267, steps per second: 107, episode reward:  0.327, mean reward:  0.001 [ 0.000,  0.012], mean action: 16.599 [0.000, 31.000],  loss: 9.804461, mae: 68.892838, mean_q: 73.713791
 27505/100000: episode: 151, duration: 2.464s, episode steps: 267, steps per second: 108, episode reward:  0.136, mean reward:  0.001 [ 0.000,  0.009], mean action: 14.588 [0.000, 31.000],  loss: 9.732400, mae: 69.142761, mean_q: 74.046181
 27772/100000: episode: 152, duration: 2.491s, episode steps: 267, steps per second: 107, episode reward:  0.271, mean reward:  0.001 [ 0.000,  0.014], mean action: 14.914 [0.000, 31.000],  loss: 12.964177, mae: 69.918884, mean_q: 74.958115
 28039/100000: episode: 153, duration: 2.545s, episode steps: 267, steps per second: 105, episode reward:  0.045, mean reward:  0.000 [ 0.000,  0.006], mean action: 14.382 [0.000, 31.000],  loss: 10.340061, mae: 70.211960, mean_q: 75.267311
 28306/100000: episode: 154, duration: 2.395s, episode steps: 267, steps per second: 112, episode reward:  0.330, mean reward:  0.001 [ 0.000,  0.012], mean action: 15.090 [0.000, 31.000],  loss: 7.865450, mae: 70.767113, mean_q: 75.890869
 28573/100000: episode: 155, duration: 2.440s, episode steps: 267, steps per second: 109, episode reward:  0.166, mean reward:  0.001 [ 0.000,  0.010], mean action: 15.667 [0.000, 31.000],  loss: 8.426043, mae: 71.542206, mean_q: 76.613777
 28599/100000: episode: 156, duration: 0.237s, episode steps:  26, steps per second: 110, episode reward:  0.158, mean reward:  0.006 [ 0.000,  0.011], mean action: 18.538 [5.000, 30.000],  loss: 8.164863, mae: 71.924316, mean_q: 77.058250
 28866/100000: episode: 157, duration: 2.454s, episode steps: 267, steps per second: 109, episode reward:  0.161, mean reward:  0.001 [ 0.000,  0.012], mean action: 15.629 [0.000, 31.000],  loss: 9.143076, mae: 71.954391, mean_q: 76.991959
 29128/100000: episode: 158, duration: 2.403s, episode steps: 262, steps per second: 109, episode reward:  0.093, mean reward:  0.000 [-0.001,  0.009], mean action: 13.863 [0.000, 30.000],  loss: 13.263306, mae: 71.924858, mean_q: 77.097687
 29397/100000: episode: 159, duration: 2.617s, episode steps: 269, steps per second: 103, episode reward:  0.338, mean reward:  0.001 [ 0.000,  0.012], mean action: 15.807 [0.000, 31.000],  loss: 11.626853, mae: 72.584099, mean_q: 77.981369
 29667/100000: episode: 160, duration: 2.420s, episode steps: 270, steps per second: 112, episode reward:  0.132, mean reward:  0.000 [ 0.000,  0.012], mean action: 15.311 [0.000, 31.000],  loss: 10.543071, mae: 73.123283, mean_q: 78.512329
 29934/100000: episode: 161, duration: 2.475s, episode steps: 267, steps per second: 108, episode reward:  0.058, mean reward:  0.000 [ 0.000,  0.010], mean action: 15.401 [0.000, 31.000],  loss: 10.605082, mae: 73.843613, mean_q: 79.152313
 30023/100000: episode: 162, duration: 0.792s, episode steps:  89, steps per second: 112, episode reward:  0.125, mean reward:  0.001 [-0.001,  0.009], mean action: 17.888 [2.000, 31.000],  loss: 9.519401, mae: 74.621201, mean_q: 79.986679
 30290/100000: episode: 163, duration: 2.474s, episode steps: 267, steps per second: 108, episode reward:  0.114, mean reward:  0.000 [ 0.000,  0.012], mean action: 15.858 [0.000, 31.000],  loss: 12.382283, mae: 74.898445, mean_q: 80.273117
 30557/100000: episode: 164, duration: 2.568s, episode steps: 267, steps per second: 104, episode reward:  0.289, mean reward:  0.001 [ 0.000,  0.011], mean action: 16.341 [0.000, 31.000],  loss: 9.846668, mae: 75.486794, mean_q: 80.919067
 30824/100000: episode: 165, duration: 2.477s, episode steps: 267, steps per second: 108, episode reward:  0.147, mean reward:  0.001 [ 0.000,  0.008], mean action: 16.030 [0.000, 31.000],  loss: 8.969455, mae: 76.412994, mean_q: 81.915451
 31091/100000: episode: 166, duration: 2.659s, episode steps: 267, steps per second: 100, episode reward:  0.133, mean reward:  0.000 [ 0.000,  0.008], mean action: 14.442 [0.000, 31.000],  loss: 8.584852, mae: 77.292442, mean_q: 82.809044
 31297/100000: episode: 167, duration: 2.065s, episode steps: 206, steps per second: 100, episode reward:  0.053, mean reward:  0.000 [ 0.000,  0.008], mean action: 15.354 [0.000, 31.000],  loss: 10.987460, mae: 77.995186, mean_q: 83.449951
 31567/100000: episode: 168, duration: 2.671s, episode steps: 270, steps per second: 101, episode reward:  0.149, mean reward:  0.001 [ 0.000,  0.012], mean action: 16.833 [0.000, 31.000],  loss: 9.884457, mae: 78.327988, mean_q: 83.769890
 31836/100000: episode: 169, duration: 2.484s, episode steps: 269, steps per second: 108, episode reward:  0.165, mean reward:  0.001 [ 0.000,  0.009], mean action: 14.227 [0.000, 31.000],  loss: 8.573302, mae: 79.115807, mean_q: 84.546021
 32103/100000: episode: 170, duration: 2.515s, episode steps: 267, steps per second: 106, episode reward:  0.343, mean reward:  0.001 [ 0.000,  0.012], mean action: 15.757 [0.000, 31.000],  loss: 14.169017, mae: 78.892487, mean_q: 84.516754
 32182/100000: episode: 171, duration: 0.741s, episode steps:  79, steps per second: 107, episode reward:  0.155, mean reward:  0.002 [-0.001,  0.011], mean action: 15.266 [0.000, 31.000],  loss: 16.511877, mae: 79.528168, mean_q: 85.118858
 32449/100000: episode: 172, duration: 2.496s, episode steps: 267, steps per second: 107, episode reward:  0.343, mean reward:  0.001 [ 0.000,  0.011], mean action: 14.981 [0.000, 31.000],  loss: 17.497541, mae: 79.188889, mean_q: 84.812744
 32485/100000: episode: 173, duration: 0.340s, episode steps:  36, steps per second: 106, episode reward:  0.051, mean reward:  0.001 [-0.001,  0.008], mean action: 14.500 [0.000, 30.000],  loss: 9.599180, mae: 79.754967, mean_q: 85.742485
 32607/100000: episode: 174, duration: 1.160s, episode steps: 122, steps per second: 105, episode reward:  0.333, mean reward:  0.003 [-0.001,  0.013], mean action: 16.287 [0.000, 31.000],  loss: 13.699852, mae: 79.977737, mean_q: 85.460945
 32874/100000: episode: 175, duration: 2.437s, episode steps: 267, steps per second: 110, episode reward:  0.132, mean reward:  0.000 [ 0.000,  0.009], mean action: 15.169 [0.000, 31.000],  loss: 16.214090, mae: 79.944786, mean_q: 85.661285
 33143/100000: episode: 176, duration: 2.636s, episode steps: 269, steps per second: 102, episode reward:  0.167, mean reward:  0.001 [ 0.000,  0.007], mean action: 16.245 [0.000, 31.000],  loss: 10.287394, mae: 80.759979, mean_q: 86.469925
 33222/100000: episode: 177, duration: 0.756s, episode steps:  79, steps per second: 105, episode reward:  0.115, mean reward:  0.001 [-0.001,  0.012], mean action: 16.215 [0.000, 31.000],  loss: 14.498126, mae: 81.267548, mean_q: 87.251907
 33492/100000: episode: 178, duration: 2.570s, episode steps: 270, steps per second: 105, episode reward:  0.162, mean reward:  0.001 [ 0.000,  0.012], mean action: 15.011 [0.000, 31.000],  loss: 10.949868, mae: 81.948608, mean_q: 87.639252
 33600/100000: episode: 179, duration: 1.021s, episode steps: 108, steps per second: 106, episode reward:  0.159, mean reward:  0.001 [-0.001,  0.011], mean action: 14.898 [0.000, 31.000],  loss: 12.695844, mae: 82.289314, mean_q: 87.900703
 33867/100000: episode: 180, duration: 2.371s, episode steps: 267, steps per second: 113, episode reward:  0.057, mean reward:  0.000 [ 0.000,  0.013], mean action: 15.090 [0.000, 31.000],  loss: 13.096083, mae: 82.428894, mean_q: 88.094193
 34134/100000: episode: 181, duration: 2.471s, episode steps: 267, steps per second: 108, episode reward:  0.053, mean reward:  0.000 [ 0.000,  0.007], mean action: 15.195 [0.000, 30.000],  loss: 13.262463, mae: 82.737022, mean_q: 88.499382
 34404/100000: episode: 182, duration: 2.439s, episode steps: 270, steps per second: 111, episode reward:  0.141, mean reward:  0.001 [ 0.000,  0.011], mean action: 15.900 [0.000, 31.000],  loss: 16.259975, mae: 82.905205, mean_q: 88.768288
 34572/100000: episode: 183, duration: 1.533s, episode steps: 168, steps per second: 110, episode reward:  0.076, mean reward:  0.000 [-0.001,  0.007], mean action: 15.137 [0.000, 31.000],  loss: 14.389073, mae: 83.673996, mean_q: 89.680939
 34839/100000: episode: 184, duration: 2.460s, episode steps: 267, steps per second: 109, episode reward:  0.147, mean reward:  0.001 [ 0.000,  0.010], mean action: 17.348 [0.000, 31.000],  loss: 16.066029, mae: 83.816002, mean_q: 89.819130
 35106/100000: episode: 185, duration: 2.456s, episode steps: 267, steps per second: 109, episode reward:  0.156, mean reward:  0.001 [ 0.000,  0.011], mean action: 14.506 [0.000, 31.000],  loss: 12.141310, mae: 84.905342, mean_q: 90.888748
 35312/100000: episode: 186, duration: 1.910s, episode steps: 206, steps per second: 108, episode reward:  0.333, mean reward:  0.002 [-0.001,  0.010], mean action: 17.170 [0.000, 31.000],  loss: 11.525755, mae: 85.974365, mean_q: 91.989304
 35579/100000: episode: 187, duration: 2.390s, episode steps: 267, steps per second: 112, episode reward:  0.049, mean reward:  0.000 [ 0.000,  0.007], mean action: 15.573 [0.000, 31.000],  loss: 17.842873, mae: 86.532814, mean_q: 92.645248
 35846/100000: episode: 188, duration: 2.548s, episode steps: 267, steps per second: 105, episode reward:  0.120, mean reward:  0.000 [ 0.000,  0.009], mean action: 14.004 [0.000, 31.000],  loss: 18.405094, mae: 86.780891, mean_q: 92.899681
 36113/100000: episode: 189, duration: 2.499s, episode steps: 267, steps per second: 107, episode reward:  0.166, mean reward:  0.001 [ 0.000,  0.009], mean action: 12.899 [0.000, 31.000],  loss: 17.689814, mae: 87.237251, mean_q: 93.281868
 36296/100000: episode: 190, duration: 1.648s, episode steps: 183, steps per second: 111, episode reward:  0.177, mean reward:  0.001 [-0.001,  0.010], mean action: 12.765 [0.000, 31.000],  loss: 15.385470, mae: 87.356598, mean_q: 93.607094
 36563/100000: episode: 191, duration: 2.563s, episode steps: 267, steps per second: 104, episode reward:  0.138, mean reward:  0.001 [ 0.000,  0.006], mean action: 16.401 [0.000, 31.000],  loss: 19.917618, mae: 87.699265, mean_q: 93.916107
 36830/100000: episode: 192, duration: 2.613s, episode steps: 267, steps per second: 102, episode reward:  0.160, mean reward:  0.001 [ 0.000,  0.009], mean action: 15.004 [0.000, 31.000],  loss: 19.192032, mae: 87.610252, mean_q: 93.854698
 36988/100000: episode: 193, duration: 1.472s, episode steps: 158, steps per second: 107, episode reward:  0.332, mean reward:  0.002 [-0.001,  0.012], mean action: 18.272 [0.000, 31.000],  loss: 20.471899, mae: 87.758957, mean_q: 94.122566
 37255/100000: episode: 194, duration: 2.535s, episode steps: 267, steps per second: 105, episode reward:  0.165, mean reward:  0.001 [ 0.000,  0.010], mean action: 14.431 [0.000, 31.000],  loss: 16.659836, mae: 87.953995, mean_q: 94.166924
 37374/100000: episode: 195, duration: 1.152s, episode steps: 119, steps per second: 103, episode reward:  0.065, mean reward:  0.001 [-0.001,  0.009], mean action: 15.294 [0.000, 31.000],  loss: 14.237955, mae: 88.332527, mean_q: 94.551605
 37641/100000: episode: 196, duration: 2.499s, episode steps: 267, steps per second: 107, episode reward:  0.154, mean reward:  0.001 [ 0.000,  0.009], mean action: 16.307 [0.000, 31.000],  loss: 16.014772, mae: 88.787819, mean_q: 95.153946
 37771/100000: episode: 197, duration: 1.211s, episode steps: 130, steps per second: 107, episode reward:  0.153, mean reward:  0.001 [-0.001,  0.009], mean action: 15.315 [0.000, 31.000],  loss: 17.013428, mae: 89.310486, mean_q: 95.549042
 38038/100000: episode: 198, duration: 2.497s, episode steps: 267, steps per second: 107, episode reward:  0.153, mean reward:  0.001 [ 0.000,  0.009], mean action: 16.835 [0.000, 31.000],  loss: 15.331529, mae: 89.718094, mean_q: 95.992569
 38305/100000: episode: 199, duration: 2.603s, episode steps: 267, steps per second: 103, episode reward:  0.150, mean reward:  0.001 [ 0.000,  0.009], mean action: 15.929 [0.000, 31.000],  loss: 14.811907, mae: 90.532333, mean_q: 96.801689
 38572/100000: episode: 200, duration: 2.520s, episode steps: 267, steps per second: 106, episode reward:  0.160, mean reward:  0.001 [ 0.000,  0.010], mean action: 15.614 [0.000, 31.000],  loss: 16.846310, mae: 90.699478, mean_q: 97.039268
 38810/100000: episode: 201, duration: 2.200s, episode steps: 238, steps per second: 108, episode reward:  0.158, mean reward:  0.001 [-0.001,  0.011], mean action: 15.517 [0.000, 31.000],  loss: 16.350285, mae: 90.770760, mean_q: 97.227173
 39077/100000: episode: 202, duration: 2.539s, episode steps: 267, steps per second: 105, episode reward:  0.133, mean reward:  0.000 [ 0.000,  0.010], mean action: 15.768 [0.000, 31.000],  loss: 18.726002, mae: 91.639458, mean_q: 98.285362
 39344/100000: episode: 203, duration: 2.536s, episode steps: 267, steps per second: 105, episode reward:  0.098, mean reward:  0.000 [ 0.000,  0.011], mean action: 14.071 [0.000, 29.000],  loss: 18.889301, mae: 91.865814, mean_q: 98.367363
 39611/100000: episode: 204, duration: 2.520s, episode steps: 267, steps per second: 106, episode reward:  0.340, mean reward:  0.001 [ 0.000,  0.013], mean action: 16.124 [0.000, 31.000],  loss: 15.148235, mae: 92.486153, mean_q: 98.978592
 39878/100000: episode: 205, duration: 2.488s, episode steps: 267, steps per second: 107, episode reward:  0.120, mean reward:  0.000 [ 0.000,  0.010], mean action: 14.206 [0.000, 31.000],  loss: 19.794859, mae: 93.042702, mean_q: 99.601624
 40145/100000: episode: 206, duration: 2.441s, episode steps: 267, steps per second: 109, episode reward:  0.160, mean reward:  0.001 [ 0.000,  0.012], mean action: 16.693 [0.000, 31.000],  loss: 17.590406, mae: 93.363808, mean_q: 100.057808
 40412/100000: episode: 207, duration: 2.479s, episode steps: 267, steps per second: 108, episode reward:  0.165, mean reward:  0.001 [ 0.000,  0.013], mean action: 13.682 [0.000, 30.000],  loss: 16.957262, mae: 94.136353, mean_q: 100.749069
 40679/100000: episode: 208, duration: 2.379s, episode steps: 267, steps per second: 112, episode reward:  0.169, mean reward:  0.001 [ 0.000,  0.011], mean action: 15.513 [0.000, 31.000],  loss: 18.120863, mae: 94.511177, mean_q: 101.186577
 40946/100000: episode: 209, duration: 2.461s, episode steps: 267, steps per second: 108, episode reward:  0.149, mean reward:  0.001 [ 0.000,  0.009], mean action: 16.221 [0.000, 31.000],  loss: 16.247038, mae: 95.330856, mean_q: 102.081062
 41213/100000: episode: 210, duration: 2.433s, episode steps: 267, steps per second: 110, episode reward:  0.297, mean reward:  0.001 [ 0.000,  0.011], mean action: 15.685 [0.000, 31.000],  loss: 16.304110, mae: 95.889648, mean_q: 102.622353
 41480/100000: episode: 211, duration: 2.485s, episode steps: 267, steps per second: 107, episode reward:  0.127, mean reward:  0.000 [ 0.000,  0.009], mean action: 13.318 [0.000, 31.000],  loss: 22.359846, mae: 95.624184, mean_q: 102.315002
 41747/100000: episode: 212, duration: 2.420s, episode steps: 267, steps per second: 110, episode reward:  0.102, mean reward:  0.000 [ 0.000,  0.011], mean action: 15.813 [0.000, 31.000],  loss: 22.160683, mae: 95.466248, mean_q: 102.148674
 42014/100000: episode: 213, duration: 2.460s, episode steps: 267, steps per second: 109, episode reward:  0.340, mean reward:  0.001 [ 0.000,  0.014], mean action: 13.865 [0.000, 31.000],  loss: 18.273767, mae: 95.647095, mean_q: 102.490562
 42169/100000: episode: 214, duration: 1.431s, episode steps: 155, steps per second: 108, episode reward:  0.125, mean reward:  0.001 [-0.001,  0.008], mean action: 14.606 [0.000, 31.000],  loss: 20.479704, mae: 96.239868, mean_q: 103.126251
 42436/100000: episode: 215, duration: 2.450s, episode steps: 267, steps per second: 109, episode reward:  0.348, mean reward:  0.001 [ 0.000,  0.015], mean action: 15.551 [0.000, 31.000],  loss: 15.501862, mae: 96.804596, mean_q: 103.698196
 42703/100000: episode: 216, duration: 2.416s, episode steps: 267, steps per second: 111, episode reward:  0.340, mean reward:  0.001 [ 0.000,  0.014], mean action: 16.285 [0.000, 31.000],  loss: 25.212532, mae: 97.188103, mean_q: 104.140816
 42748/100000: episode: 217, duration: 0.407s, episode steps:  45, steps per second: 111, episode reward:  0.118, mean reward:  0.003 [-0.001,  0.011], mean action: 17.044 [1.000, 30.000],  loss: 17.482235, mae: 98.099091, mean_q: 105.143814
 43015/100000: episode: 218, duration: 2.455s, episode steps: 267, steps per second: 109, episode reward:  0.051, mean reward:  0.000 [ 0.000,  0.008], mean action: 15.468 [0.000, 31.000],  loss: 20.385899, mae: 97.713936, mean_q: 104.555077
 43282/100000: episode: 219, duration: 2.544s, episode steps: 267, steps per second: 105, episode reward:  0.159, mean reward:  0.001 [ 0.000,  0.011], mean action: 17.667 [0.000, 31.000],  loss: 21.186356, mae: 98.126289, mean_q: 104.979721
 43549/100000: episode: 220, duration: 2.525s, episode steps: 267, steps per second: 106, episode reward:  0.096, mean reward:  0.000 [ 0.000,  0.011], mean action: 15.536 [0.000, 31.000],  loss: 21.618084, mae: 98.318924, mean_q: 105.152252
 43816/100000: episode: 221, duration: 2.603s, episode steps: 267, steps per second: 103, episode reward:  0.171, mean reward:  0.001 [ 0.000,  0.012], mean action: 15.610 [0.000, 31.000],  loss: 17.194233, mae: 98.387436, mean_q: 105.290955
 43891/100000: episode: 222, duration: 0.730s, episode steps:  75, steps per second: 103, episode reward:  0.062, mean reward:  0.001 [-0.001,  0.008], mean action: 15.920 [0.000, 29.000],  loss: 15.218198, mae: 98.537361, mean_q: 105.388100
 44158/100000: episode: 223, duration: 2.624s, episode steps: 267, steps per second: 102, episode reward:  0.134, mean reward:  0.001 [ 0.000,  0.014], mean action: 16.865 [0.000, 31.000],  loss: 24.199350, mae: 98.684868, mean_q: 105.603607
 44425/100000: episode: 224, duration: 2.678s, episode steps: 267, steps per second: 100, episode reward:  0.128, mean reward:  0.000 [ 0.000,  0.011], mean action: 17.371 [0.000, 31.000],  loss: 26.651472, mae: 99.047913, mean_q: 106.065819
 44694/100000: episode: 225, duration: 2.634s, episode steps: 269, steps per second: 102, episode reward:  0.127, mean reward:  0.000 [ 0.000,  0.010], mean action: 16.193 [0.000, 31.000],  loss: 23.298996, mae: 99.005432, mean_q: 105.929512
 44961/100000: episode: 226, duration: 2.409s, episode steps: 267, steps per second: 111, episode reward:  0.155, mean reward:  0.001 [ 0.000,  0.009], mean action: 15.918 [0.000, 31.000],  loss: 19.974483, mae: 98.795013, mean_q: 105.661453
 45228/100000: episode: 227, duration: 2.487s, episode steps: 267, steps per second: 107, episode reward:  0.335, mean reward:  0.001 [ 0.000,  0.014], mean action: 15.303 [0.000, 31.000],  loss: 21.762562, mae: 99.218460, mean_q: 106.208221
 45410/100000: episode: 228, duration: 1.920s, episode steps: 182, steps per second:  95, episode reward:  0.158, mean reward:  0.001 [-0.001,  0.008], mean action: 16.148 [0.000, 31.000],  loss: 11.871166, mae: 99.891808, mean_q: 106.857529
 45540/100000: episode: 229, duration: 1.320s, episode steps: 130, steps per second:  98, episode reward:  0.148, mean reward:  0.001 [-0.001,  0.015], mean action: 15.446 [0.000, 31.000],  loss: 23.066109, mae: 100.096893, mean_q: 107.090576
 45807/100000: episode: 230, duration: 2.636s, episode steps: 267, steps per second: 101, episode reward:  0.148, mean reward:  0.001 [ 0.000,  0.015], mean action: 16.184 [0.000, 31.000],  loss: 21.681940, mae: 99.729950, mean_q: 106.577789
 46074/100000: episode: 231, duration: 2.546s, episode steps: 267, steps per second: 105, episode reward:  0.167, mean reward:  0.001 [ 0.000,  0.009], mean action: 15.213 [0.000, 31.000],  loss: 20.043842, mae: 100.092476, mean_q: 107.250069
 46341/100000: episode: 232, duration: 2.540s, episode steps: 267, steps per second: 105, episode reward:  0.330, mean reward:  0.001 [ 0.000,  0.013], mean action: 12.067 [0.000, 30.000],  loss: 19.144651, mae: 100.205101, mean_q: 107.326263
 46608/100000: episode: 233, duration: 2.437s, episode steps: 267, steps per second: 110, episode reward:  0.045, mean reward:  0.000 [ 0.000,  0.011], mean action: 15.944 [0.000, 31.000],  loss: 12.294986, mae: 100.641930, mean_q: 107.579147
